Unnamed: 0,date,review,rating,tokens
760,22.08.06.,만족합니다~잘 쓰겠습니다,5,"['만족하다', '쓰다']"
761,22.08.11.,한손에 들어오구 물마실때 편해요ㅎㅎㅎ,5,"['손', '들어오다', '물', '말다', '편하다']"
762,22.08.27.,완전 좋아요~ 주변에 추천하고 있어요~,5,"['완전', '좋다', '주변', '추천']"
763,22.08.19.,얼음이 오래 가서 좋아요. 다만 아래가 균형이 안 맞는지 덜걱거려서 사무실에서 좀 거슬리네요ㅠ,4,"['얼음', '좋다', '아래', '균형', '안', '맞다', '거려', '사무실', '거슬리다']"
764,22.07.19.,3개사니 하나는덤??색상도 이뿌고가볍고 빨대랑 세척솔 여유로 보내주신 바닥 고무?요런것까지 더보내주시는쎈스 잘쓸게요,5,"['개사', '덤', '색상', '이뿌다', '가볍다', '빨대', '세척', '솔', '여유', '보내다', '바닥', '고무', '요런', '더보', '내주다', '쎄다', '스', '잘쓰다']"
767,22.08.09.,빨대 꽂는 텀블러는 새서 불편했는데 이건 안새서 좋아요,5,"['빨대', '꽂다', '텀블러', '새다', '불편하다', '이건', '새다', '좋다']"
768,22.07.25.,"고민말고 두번사세용
진짜 안흘러내리고 가볍고 아이스도 오래갑니다!!
진짝 이거살걸 괜히 비싸게 다른 브랜드 삿네요ㅠㅠ 저렴하게 특템하세용",5,"['고민', '번', '세용', '진짜', '흘러내리다', '가볍다', '아이스', '진짝', '거살걸', '비싸다', '브랜드', '삿네', '저렴하다', '특템']"
769,22.07.22.,너무나도 착한가격 사이즈도 좋고 다른 유명브랜드와 비교해도 뒤지지 않아요 답변도 친절히 해주시고  상당히 만족스럽습니다 많이 파세요~~,5,"['착하다', '가격', '사이즈', '좋다', '유명', '브랜드', '비교', '뒤지다', '않다', '답변', '친절하다', '해주시', '상당하다', '만족스럽다', '파다']"
770,22.08.01.,색깔 너무 예쁘고 가벼워서 좋아요 보냉도 잘되는거같아요,5,"['색깔', '예쁘다', '가볍다', '좋다', '보냉']"
771,22.07.24.,"불량 배송이라는 해프닝이 있었지만 발빠르게 연락주셔서 새로 배송 받아 잘 사용하고 있어요.
밀폐력, 보냉기능 우수하고 용량 대비 가벼운 무게도 좋아요!",5,"['불량', '배송', '해프닝', '발', '빠르다', '연락', '주다', '새롭다', '배송', '받다', '자다', '사용', '밀폐', '보냉', '기능', '우수하다', '용량', '대비', '가볍다', '무게', '좋다']"
772,22.08.09.,데일리로 들기에 딱이에요 새지않아서 편하게 가지고 다녀요,5,"['데', '일리', '들다', '딱이다', '새다', '않다', '편하다', '가지', '다니다']"
773,22.06.28.,"다른 브랜드에 비슷하게 생긴 제품이 있어요.
그 제품을 사용하다보니 얼음이 너무 순식간에 녹아내려서 못쓰겠다 싶어서 이 제품을 구입했습니다.

이 제품은 빨대를 꽂아놓아서 공기가 통하는데도 얼음이 훨씬 덜녹아서 하루종일 써도 괜찮습니다.
밀폐력이 좋고 제품 마감도 좋은거같아요!

또 쇠로된 빨대2개. 청소솔까지 주는데 이가격이면 혜자인듯합니다.

사장님 물건 보는 눈이 있으신거같아서
다른 제품들도 구매해볼까 해요

흥하세요 사장님",5,"['브랜드', '생기다', '제품', '제품', '사용', '보다', '얼음', '순식간', '녹아내리다', '쓰다', '제품', '구입', '제품', '빨대', '꽂다', '공기', '통', '얼음', '덜', '녹다', '하루', '종일', '써다', '괜찮다', '밀폐', '좋다', '제품', '마감', '좋다', '쇠', '빨대', '청소', '솔', '주다', '가격', '혜자', '사장', '물건', '보다', '눈', '제품', '구매', '해보다', '사장']"
774,22.08.10.,보냉잘되고 좋아요 잘 쓰겠습니다,5,"['보냉', '좋다', '자다', '쓰다']"
775,22.04.16.,"6월부터 일회용기 사용이 제한된다 해서 여기저기 텀블러 알아보다가 결정했어요??
1. 디자인이 깔끔할 것
2. 용량 500ml이상
3. 물이 새지 않는 뚜껑
4. 보온보냉 되는 것
제가 찾던 텀블러조건은 이 정도였는데 너무 비싸지 않은 선에서 이게 제일 맘에 들어서 구매했습니다
??배송은 굉장히 빨라서 맘에 들었어요! 목요일밤에 주문해서 토요일오전에 도착했습니다.
다만 굉장히 큰 겉박스에 뽁뽁이도 없이 덜렁 텀블러상자만 들어 있어서 포장이 좀 아쉬웠어요??
??색감은 정말 홈페이지사진 그대로 연보라색이어서 좋았어요. 다만 로고가 너무 커요... 제발 로고 크기좀 줄여주세요... 분명 돈 주고 산건데 보기엔 회사에서 나눠준 사은품같아요
??550ml 담아봤더니 딱 저정도 담겨요 목끝까지 담으면 660ml가 될 수 도 있겠지만 뚜껑닫는거 생각하면 660ml는 못 담을 것 같아요
??뚜껑 닫았더니 정말 안새요 몸통 틈새랑 입술닿는 틈새 두 부분에서 안새서 가방에 넣어도 안심할 수 있겠어요! 다만 뜨거운 물 담고도 안새는지 보려고 뒤집었는데 뚜껑이 펑하고 열려서 손 데일뻔 했어요 고무장갑끼고있어서 다행히 데이진 않았지만 이건 조심해야 할 것 같아요 뜨거운아메리카노담고는 절대 뚜껑닫지 마세요??
??간혹 후기 중에 뚜껑이 잘 안닫긴다고 하시는 분있으시던데 입술 닿는 슬라이드부분 열고 닫으시면 잘 닫겨요! 밀폐가 잘 되서 공기가 나가지 못해서 그런 것 같아요
??사은품이 쓰잘데기 없는게 아니라 쓸모있는 것들이라서 너무 좋아요?(? ? ?)? 빨대2종이랑 청소솔 2종 모두 잘 쓸게요! 그리고 미끄러지지말라고 사이런트스토퍼 붙여져있어서 좋네요
??연마제가 거의 없는 편이라서 너무 좋아요 빨대랑 텀블러 다 닦았는데 엄청 조금 나와서 바로 설거지하고 쓰려고요!",4,"['일회용', '기', '사용', '제한', '여기저기', '텀블러', '알아보다', '결정', '디자인', '깔끔하다', '용량', '물이', '새다', '않다', '뚜껑', '보온', '보냉', '찾다', '텀블러', '조건', '정도', '비싸다', '않다', '선', '제일', '맘', '들어서다', '구매', '배송', '굉장하다', '빨', '맘', '들다', '목요일', '밤', '주문', '토요일', '오전', '도착', '굉장하다', '크다', '겉', '박스', '뽁뽁이', '덜렁', '텀블러', '상자', '들다', '포장', '아쉽다', '색감', '정말', '홈페이지', '사진', '그대로', '연', '보라색', '좋다', '로고', '크다', '제발', '로고', '크기', '줄이다', '분명', '돈', '주다', '사다', '보기', '회사', '나누다', '준', '사은', '품', '담다', '보다', '정도', '담기다', '목끝', '담다', '뚜껑', '닫다', '생각', '늘다', '못', '담', '뚜껑', '닫다', '정말', '새다', '몸통', '틈새', '입술', '닿다', '틈새', '두', '부분', '새다', '가방', '넣다', '심하다', '뜨겁다', '물', '담다', '새다', '보다', '뒤지다', '뚜껑', '펑', '열리다', '손', '데일', '뻔', '고무장갑', '끼다', '다행하다', '데이', '진', '않다', '이건', '조심하다', '뜨겁다', '아메리카노', '담다', '절대', '뚜껑', '닫다', '말다', '간혹', '후기', '뚜껑', '자다', '닫다', '불다', '입술', '닿다', '슬라이드', '부분', '열다', '닫다', '자다', '닫다', '겨', '밀폐', '자다', '공기', '나가다', '그렇다', '사은', '품', '쓰다', '자다', '없다', '아니다', '쓸모', '좋다', '빨대', '종이', '청소', '솔', '종', '자다', '쓸다', '미끄러지다', '트', '스토퍼', '붙이다', '좋다', '연', '마제', '없다', '편이', '좋다', '빨대', '텀블러', '닦다', '나오다', '설거지', '쓰다']"
