Unnamed: 0,review,tokens
1496,구매 후 매일 잘 사용하고 있어요,"['구매', '후', '매일', '자다', '사용']"
1497,좋아요 손잡이가 있어서 들고 다니기 편해요,"['좋다', '손잡이', '들다', '다니다', '편하다']"
1498,마실 때 안 흘려서 죻아요,"['말다', '안', '흘리다', '죻아']"
1499,디자인 예쁘고 손에 딱 들어옵니다,"['디자인', '예쁘다', '손', '들어오다']"
1500,그린으로 했다가 다시 겨자로 재결재했어요 화면과 똑같은데 쪼금 무겁다는 정도 바로 넣어놔서 아직 사용 전인데 이제 쌀쌀해지면 사용해야겠어요,"['그린', '다시', '겨자', '재', '결재', '화면', '똑같다', '쪼금', '무겁다', '정도', '넣다', '놓다', '사용', '전', '이제', '쌀쌀하다', '사용']"
1501,손잡이도 편하고 입구가 넓어 좋아요,"['손잡이', '편하다', '입구', '넓다', '좋다']"
1502,어머니가 가수 박서진씨 팬이라서 노란색 아니면 안 된다고 하네요 노랑보다 머스터드 색이고 조금 어두운 느낌이에요 음료 담고 나서 반드시 뚜껑 잘 돌려서 닫혀있는지 확인해야 합니다,"['어머니', '가수', '박서진', '팬', '노란색', '아니다', '안', '노랑', '머스터드', '색', '두운', '느낌', '음료', '담다', '나서다', '뚜껑', '자다', '돌리다', '닫히다', '확인']"
1503,가볍고 디자인이 예뻐서 좋아요,"['가볍다', '디자인', '예쁘다', '좋다']"
1504,디자인이 너무 이뻐요 온라인이 확실히 싸네요,"['디자인', '이쁘다', '온라인', '확실하다', '싸다']"
1505,색깔로 너무 이쁘고 마음에 듭니다,"['색깔', '이쁘다', '마음', '듭니']"
1506,배송 빠르고 이쁘네요 다른 색상도 사고 싶어요,"['배송', '빠르다', '이쁘다', '색상', '사고']"
1507,좋은 물건 저렴하게 잘 산 것 같아요,"['좋다', '물건', '저렴하다', '자다', '산']"
1508,킨토는 예뻐서 맘에 들어요 보냉 잘됩니다,"['킨토', '예쁘다', '맘', '들다', '보냉']"
1509,사용하기가 만족해요,"['사용', '만족하다']"
1510,매일 가져 다니는데 손잡이가 있어 편해요 근데 떨어트리면 바로 흠집이나 고 움푹 들어가서 그 점은 아쉬워요ㅠ,"['매일', '다니다', '손잡이', '편하다', '떨다', '트리', '흠집', '고', '움푹', '들어가다', '점', '아쉽다']"
1511,배송 빠르고 깔끔해요,"['배송', '빠르다', '깔끔하다']"
1512,식구들 거 같이 주문했어요 다 마음에 들어 하네요,"['식구', '주문', '마음', '들다']"
1513,선물 받은 사람이 아주 잘 쓰는 중이에요,"['선물', '받다', '사람', '아주', '자다', '쓰다', '중이']"
1514,보냉 기대했는데 엄청난 건 아니네요 예뻐서 씁니다,"['보냉', '기대하다', '엄청나다', '아니다', '예쁘다', '쓰다']"
1515,좋아요 ㅎㅎㅎ 제품이 짱짱하네요,"['좋다', '제품', '짱짱하다']"
1516,만족합니다 마음에 들어요,"['만족하다', '마음', '들다']"
1517,와 배송이 이렇게 빠른지 몰랐어요  총알 배송이에요  디자인은 말해 뭐해요 깔끔 가법 귀엽 잘 쓸게요,"['오다', '배송', '빠르다', '모르다', '총알', '배송', '디자인', '말', '뭐', '깔다', '끄다', '가법', '귀엽다', '자다', '쓸다']"
1518,선물하려고 구매했어요 합리적인 가격에 구매할 수 있어서 좋았습니다 ,"['선물', '구매', '합리', '가격', '구매', '좋다']"
1519,화이트 샀다가 너무 마음에 들어서 다른 컬러도 주문했네요,"['화이트', '사다', '마음', '들어서다', '컬러', '주문']"
1520,손잡이가 있어서 편하고 좋아요 색도 예쁨,"['손잡이', '편하다', '좋다', '색도', '예쁘다']"
1521,배송 빠르고 제품 만족합니다 오자마자 세척 후 사용합니다,"['배송', '빠르다', '제품', '만족하다', '세척', '후', '사용']"
1522,위에 손잡이가 있어서 편하고 디자인도 이뻐요 매일 가지고 다닙니다 다만 아구가 잘 안 맞으면 새니까 조심하세요,"['손잡이', '편하다', '디자인', '이쁘다', '매일', '가지', '다니다', '아구', '자다', '안', '맞다', '새', '조심하다']"
1523,스위스 여행 갈 때 쓰려고 샀습니다 보온도 잘되고 디자인도 이쁘고 무겁지 않아 좋네요,"['스위스', '여행', '갈다', '쓰다', '사다', '보온', '디자인', '이쁘다', '무겁다', '않다', '좋다']"
1524,디자인도 성능도 너무 마음에 들어요 아 그리고 거름망 있어서 차 마실 때나 성격 급한 사람들에겐 너무 유용해요 다만 뚜껑 부분 고무 패킹이 통통하다 해야 하나 아마 밀봉이  잘 되기 위해 그렇게 생긴 것 같은데요 뚜껑 닫을 때 삐뚤게 닫힐 때가 좀 있어서 내용물이 새어 나왔더라고요?? 뚜껑 닫을 때 신경 잘 써서 닫아야 해요 그것 말고는 너무 만족해요,"['디자인', '성능', '마음', '들다', '거름', '망', '차', '말다', '성격', '급하다', '사람', '유용하다', '뚜껑', '부분', '고무', '패킹', '통통하다', '아마', '밀봉', '자다', '위해', '생기다', '뚜껑', '닫다', '삐뚤다', '닫히다', '내용물', '새다', '나오다', '뚜껑', '닫다', '신경', '자다', '써다', '닫다', '그것', '만족하다']"
1525,티백이 들어갈 걱정을 안 해도 돼서 좋아요 근데 닫을 때 좀 신경 써서 닫아야 해요,"['티백', '들어가다', '걱정', '안', '해도', '좋다', '닫다', '신경', '써다', '닫다']"
1526,가볍고 전혀 새지 않고 보냉도 만족스러워요 손잡이와 얼음 걸러주는 부분이 특히 좋아요,"['가볍다', '전혀', '새다', '않다', '보냉', '만족스럽다', '손잡이', '얼음', '걸다', '주다', '부분', '좋다']"
1527,디자인이 예쁘고 귀여워요  사이즈도 적당해서 가방에 넣고 다니기 좋을 것 같아요,"['디자인', '예쁘다', '귀엽다', '사이즈', '적당하다', '가방', '넣다', '다니다', '좋다']"
1528,아직 연마제 세척만 한 상태라 사용 전입니다 상품의 칼라들은 모두 알고 있는 컬러감에서 톤 다운된 색감이고 디자인은 실용적입니다 한 달 사용 후 후기 남기로 오겠습니다,"['연', '연마제', '세척', '상태', '사용', '전입', '니', '상품', '칼라', '알', '컬러', '감', '톤', '다운', '색감', '디자인', '실용', '달', '사용', '후', '후기', '남다', '오다']"
1529,보냉 역이 엄청 좋아요 얼음이 하루 종일 유지되네요,"['보냉', '역', '좋다', '얼음', '하루', '종일', '유지']"
1530,아이 학교에 보냈는데 저녁때도 얼음이 남아있어요,"['학교', '보내다', '저녁때', '얼음', '남다']"
1531,아기들 물병으로 사용하려고 구매했습니다 색깔이 이쁘네요,"['아기', '물병', '사용', '구매', '색깔', '이쁘다']"
1532,아기들 물병으로 사용하려고 구매했습니다 색깔이 이뻐요,"['아기', '물병', '사용', '구매', '색깔', '이쁘다']"
1533,생일선물로 샀는데 아직 못 줬지만 기대 둬 오,"['생일', '선물', '사다', '못', '주다', '기대', '두다']"
1534,같은 제품 오래 썼는데 텀블러도 어느 정도 쓰면 갈아줘야 한다기에 이번에 같은 색상으로 새로 바꿨네요,"['제품', '써다', '텀블러', '정도', '쓰다', '갈다', '다기', '색상', '새롭다', '바꾸다']"
1535,위에 손잡이가 있어서 들고 다니기 좋아요 매일 가지고 다닙니다,"['손잡이', '들다', '다니다', '좋다', '매일', '가지', '다니다']"
1536,벼르고 벼르다 샀어요 역시 깔끔하고 예쁘긴 하네요,"['벼르', '벼르', '사다', '역시', '깔끔하다', '예쁘다']"
1537,디자인 색상 기능 모두 만족합니다 예쁘게 잘 들고 다닐 수  있어서 너무 좋아요,"['디자인', '색상', '기능', '만족하다', '예쁘다', '자다', '들다', '다니다', '좋다']"
1538,계속 구입 중이 요 선물하면 너무 좋아 해요,"['계속', '구입', '중이', '선물', '좋다']"
1539,정말 좋아요 계속해서 구입 중이 요,"['정말', '좋다', '계속', '구입', '중이']"
1540,킨토 텀블러 좋은 거는 써봐서 알기 때문에 아들 주려고 하나 더 구입했어요 모양도 이쁘고 얼음 넣어 놓으면 다음날까지 얼어있어요,"['킨토', '텀블러', '좋다', '써다', '보다', '알다', '때문', '아들', '주', '려고', '더', '구입', '모양', '이쁘다', '얼음', '넣다', '놓다', '날', '얼다']"
1541,너무 이쁩니다 강추,"['이쁘다', '강추']"
1542,선물했는데 받은 사람이 예쁘다고 좋아했어요,"['선물', '받다', '사람', '예쁘다', '좋아하다']"
1543,손잡이가 있고 입구가 넓어서 얼음 넣기도 좋아요 안이 스탠이라서 뜨거운 음료를 넣어도 안심되고 무게도 나쁘지 않아요 아주 만족해요,"['손잡이', '입구', '넓다', '얼음', '넣기', '좋다', '안이', '스탠', '뜨겁다', '음료', '넣다', '안심', '무게', '나쁘다', '않다', '아주', '만족하다']"
1544,기존에 쓰던 거 잃어버려서 똑같은 거 또 구매해했어요,"['기존', '쓰다', '잃어버리다', '똑같다', '구매']"
1545,디자인 너무 귀엽고 남편이랑 같이 쓰려고 커플로 주문했어요  손잡이 있는 거 처음 써보는데 너무 편하네요 다만 스크래치에 강하다 그랬는데 첫날 쓰자마자 가방 속에서 조금 흠집 나서 마음이  쪼금 아파요 하지만 디자인이 너무 이쁩니다 아침에 출근할 때 얼음 담아 가는데 저녁때까지 얼음이 그대로에요 대박,"['디자인', '귀엽다', '남편', '쓰다', '커플', '주문', '손잡이', '처음', '써다', '보다', '편하다', '스크래치', '강하다', '첫날', '쓰다', '가방', '속', '흠집', '나서다', '마음', '쪼금', '아프다', '디자인', '이쁘다', '아침', '출근', '얼음', '담다', '저녁때', '얼음', '그대로', '대박']"
1546,빠른 배송 좋아요,"['빠르다', '배송', '좋다']"
1547,잘 받았습니다 잘 사용할게요,"['자다', '받다', '자다', '사용']"
1548,기존에 흰색 쓰다가 새로 하나 더 샀어요 디자인 심플해서 예쁘고 기능이 좋아요 아침에 얼음을 담아두면 오후까지 얼음이 남아있어요,"['기존', '흰색', '쓰다', '새롭다', '더', '사다', '디자인', '심플', '예쁘다', '기능', '좋다', '아침', '얼음', '담다', '두다', '오후', '얼음', '남다']"
1549,색깔도 예쁘고 또 사고 싶을 정도에 용,"['색깔', '예쁘다', '사고', '정도', '용']"
1550,디자인 기능 모두 만족합니다,"['디자인', '기능', '만족하다']"
1551,너무 예쁜데 싸기까지 마음에 쏙 듭니다,"['예쁘다', '싸다', '마음', '쏙', '듭니']"
1552,기존에 아이보리 색상을 사용하고 있었는데 색깔 예쁜 건 말할 것도 없고 기능성이 뛰어나서 다른 색상도 구입했어요,"['기존', '아이보리', '색상', '사용', '색깔', '예쁘다', '말', '없다', '기능', '뛰어나다', '색상', '구입']"
1553,엄마가 사용하실 거라 엄청 찾아보고 주문했는데 너무 좋아하시네요 하나 더 구매예정이에요,"['엄마', '사용', '찾아보다', '주문', '좋아하다', '더', '예정']"
