Unnamed: 0,date,review,rating,tokens
1056,19.10.23.,"사무실에서 사용하려고 샀는데 좋아요
같이 온 커버도 촉감도 좋고 모양도 귀여워요. 유리라서 살짝 무게감은 있지만 놓고 다니면서 사용할거라 부담가지는 않아요. 티망이 있어서 잎차도 먹을 수 있어 좋네요",4,"['사무실', '사용', '사다', '좋다', '온', '커버', '촉감', '좋다', '모양', '귀엽다', '유리', '살짝', '무게', '감다', '놓다', '다니다', '사용', '부담', '가지다', '않다', '티망', '잎', '차도', '먹다', '좋다']"
1057,19.10.23.,"예쁜 텀블러는 특가에 구입해서 너무좋았네요
흰색에 골드포인트가 매우 고급져보입니다
빨대끼우는곳도 고무로 되있어서 편리하구요
회사에서 건강차 마실용도로 구입해서 
매우 잘쓰고있습니다
회사사람들이 어디서샀냐고 다들 물어보네요",5,"['예쁘다', '텀블러', '특가', '구입', '좋다', '흰색', '골드', '포인트', '매우', '고급', '지다', '보이다', '빨대', '끼우다', '곳도', '고무', '편리하다', '회사', '건강', '차', '말다', '도로', '구입', '매우', '잘쓰다', '회사', '사람', '사다', '들다', '물어보다']"
1058,19.10.26.,"아이 유치원에 들고다닐 물병으로 사용하려고 작은 용량으로 구매했는데 사이즈 딱 좋네요.
올 스텐이라 깔끔하고 입구도 물마시기 좋아요.",5,"['유치원', '들다', '다니다', '물병', '사용', '작다', '용량', '구매', '사이즈', '좋다', '오다', '스텐', '깔끔하다', '입구', '물', '마시기', '좋다']"
1059,19.12.13.,아들주려고샀는데  무거워서 제가 쓰고있어요,4,"['아들', '주', '려고', '사다', '무거워', '쓰다']"
1060,19.10.26.,"특가떠서 구매했는데
아직사용해보지는 못했구요
스텐이라 튼튼해 보이네요",4,"['특가떠', '구매', '사용', '해보다', '스텐', '튼튼하다', '보이다']"
1061,19.11.10.,밀폐도 잘되고 보온보냉 너무 좋아요 뜨거운거 담고 가방에 넣고다니면 증기땜에 뚜껑이 밀려나와 샐 수도 있으니 주의해야 할 것 같아요,5,"['밀폐', '보온', '보냉', '좋다', '뜨겁다', '담다', '가방', '넣다', '증기', '땜', '뚜껑', '밀리다', '새다', '수도', '주의']"
1062,19.11.25.,커버까지 있어 좋아요,5,"['커버', '좋다']"
1063,19.10.24.,샀던 텀블러중 가장 마음에 드네요 아이스와 뜨거운커피 둘다 사용할수 있어 무엇보다 마음에 드네요 빨대를 이용할수 있어서 더욱 그렇구요 디자인도 마음에 쏙 듭니다^^,5,"['사다', '텀블러', '가장', '마음', '드네', '아이스', '뜨겁다', '커피', '두다', '사용', '마음', '드네', '빨대', '이용', '더욱', '그렇다', '디자인', '마음', '쏙', '듭니']"
1064,19.11.26.,아담하고  원하던 크기에요,5,"['아담하다', '원하다', '크기']"
1065,19.10.24.,물 담아도 흘리지 않고 뚜껑이 잘 막아주는 거 같아요. 보온 기능도 꽤 괜찮은 거 같고요. 저렴한 가격에 잘 샀어요 만족해요♥,5,"['물', '담다', '흘리다', '않다', '뚜껑', '자다', '막다', '보온', '기능', '꽤', '괜찮다', '저렴하다', '가격', '자다', '사다', '만족하다']"
1066,19.12.09.,사용  전인데  단단해보이구  보온도 잘될꺼  같아요,5,"['사용', '전', '단단하다', '보이다', '보온']"
1067,19.11.25.,"사이즈는 원하던 사이즈에요
한손으로 잡기는 좀 불편하지만
기능이 좋아요! 배송빠르고",5,"['사이즈', '원하다', '사이즈', '손', '잡기', '불편하다', '기능', '좋다', '배송', '빠르다']"
1068,19.11.26.,선물용으로 구입했습니다. 저렴한 가격에 좋은 물건 얻은 것같아 좋아요:),5,"['선물', '선물용', '구입', '저렴하다', '가격', '좋다', '물건', '얻다', '좋다']"
1069,19.11.29.,"남편 사줬는데 좋아해요
스댕이라 얼음도 잘안녹는다고 시원하게 잘먹느다고 하더라구요
좋대요!!",5,"['남편', '사주다', '좋아하다', '스댕', '얼음', '녹다', '시원하다', '먹다', '좋다', '대요']"
1070,19.12.11.,"보온 잘 되고, 가볍고 예뻐요",5,"['보온', '자다', '가볍다', '예쁘다']"
1071,19.11.04.,저희딸 물통으로 쓰고 있는데 달달한 차 넣어주니 식지 않고 맛있게 먹을 수 있어 좋은 것 같아요.재구매의사 있어요,5,"['딸', '물통', '쓰다', '달달', '차', '넣다', '식지', '않다', '맛있다', '먹다', '좋다', '재다', '의사']"
1072,19.12.03.,보온보냉 잘되요 이쁘고 이가격에 잘산거같아요,5,"['보온', '보냉', '이쁘다', '가격', '잘살다']"
1073,19.11.12.,"가격대비 저렴하고 가벼워서 넘 좋네요
디자인도 심플하고 예뻐요",5,"['가격', '대비', '저렴하다', '가볍다', '좋다', '디자인', '심플', '예쁘다']"
1074,19.12.10.,유리인 것도 좋고 쓰기도 좋아요 무겁긴하지만,5,"['유리', '좋다', '쓰기', '좋다', '무겁다']"
1075,19.12.06.,감사합니다. 잘쓰겠습니다,5,"['감사하다', '잘쓰다']"
